order_id,restaurant_id,order_time,amount,status,payment_method,city
45,135,2024-01-04 19:55:00,717,COMPLETED,ONLINE,Liverpool
46,114,2024-01-02 23:01:00,612,COMPLETED,GOOGLE_PAY,Leeds
47,133,2024-01-05 08:41:00,516,COMPLETED,CARD,Leeds
48,117,2024-01-02 00:17:00,718,COMPLETED,GOOGLE_PAY,Leeds
49,134,2024-01-04 10:30:00,749,COMPLETED,APPLE_PAY,Leeds
50,124,2024-01-06 07:24:00,297,COMPLETED,APPLE_PAY,London
51,120,2024-01-08 02:40:00,529,COMPLETED,CARD,Leeds
52,122,2024-01-08 02:16:00,460,FAILED,GOOGLE_PAY,London
53,109,2024-01-06 10:49:00,320,COMPLETED,CARD,Manchester
54,108,2024-01-05 14:14:00,670,COMPLETED,ONLINE,Manchester
55,134,2024-01-01 12:19:00,471,COMPLETED,APPLE_PAY,London
56,131,2024-01-07 00:02:00,537,COMPLETED,CARD,Birmingham
57,126,2024-01-06 12:50:00,700,COMPLETED,CARD,Manchester
58,115,2024-01-07 03:58:00,249,COMPLETED,ONLINE,Liverpool
59,125,2024-01-06 21:24:00,520,COMPLETED,GOOGLE_PAY,Liverpool
60,109,2024-01-07 22:58:00,300,COMPLETED,CARD,London
61,122,2024-01-06 00:35:00,401,COMPLETED,ONLINE,Liverpool
62,124,2024-01-06 15:40:00,762,COMPLETED,GOOGLE_PAY,Liverpool
63,106,2024-01-07 20:50:00,748,COMPLETED,GOOGLE_PAY,Liverpool
64,110,2024-01-08 05:22:00,482,FAILED,CARD,Manchester
65,103,2024-01-02 08:10:00,680,COMPLETED,APPLE_PAY,Birmingham
66,132,2024-01-06 20:43:00,722,FAILED,CARD,Birmingham
67,116,2024-01-06 20:48:00,488,COMPLETED,GOOGLE_PAY,Birmingham
68,112,2024-01-01 11:36:00,611,FAILED,APPLE_PAY,Manchester
69,105,2024-01-07 06:57:00,351,CANCELLED,GOOGLE_PAY,Liverpool
70,102,2024-01-03 21:55:00,788,CANCELLED,GOOGLE_PAY,Liverpool
71,102,2024-01-07 01:41:00,469,COMPLETED,CARD,Manchester
72,133,2024-01-01 22:16:00,347,FAILED,CARD,Leeds
73,125,2024-01-02 11:47:00,237,CANCELLED,ONLINE,Liverpool
74,127,2024-01-07 15:50:00,302,COMPLETED,GOOGLE_PAY,Leeds
75,119,2024-01-04 13:08:00,182,CANCELLED,APPLE_PAY,London
76,133,2024-01-05 15:26:00,384,COMPLETED,GOOGLE_PAY,London
77,128,2024-01-07 06:19:00,666,FAILED,GOOGLE_PAY,London
78,135,2024-01-02 12:14:00,315,COMPLETED,APPLE_PAY,Leeds
79,103,2024-01-07 17:24:00,223,CANCELLED,APPLE_PAY,Manchester
80,109,2024-01-03 22:00:00,650,COMPLETED,CARD,Manchester
81,123,2024-01-02 18:56:00,376,CANCELLED,GOOGLE_PAY,Birmingham
82,132,2024-01-05 05:37:00,774,COMPLETED,ONLINE,Birmingham
83,128,2024-01-06 05:01:00,131,COMPLETED,GOOGLE_PAY,Liverpool
84,102,2024-01-05 06:57:00,608,COMPLETED,GOOGLE_PAY,Birmingham
85,102,2024-01-01 15:56:00,506,COMPLETED,CARD,Manchester
86,108,2024-01-04 06:26:00,454,COMPLETED,APPLE_PAY,Liverpool
87,124,2024-01-04 15:34:00,244,COMPLETED,CARD,Leeds
88,131,2024-01-06 20:48:00,533,FAILED,ONLINE,London
89,126,2024-01-07 05:25:00,195,CANCELLED,ONLINE,Birmingham
90,118,2024-01-03 00:43:00,279,FAILED,CARD,Leeds
91,124,2024-01-01 16:05:00,247,COMPLETED,GOOGLE_PAY,Manchester
92,114,2024-01-05 21:06:00,361,CANCELLED,GOOGLE_PAY,London
93,111,2024-01-06 00:39:00,591,CANCELLED,CARD,Leeds
94,133,2024-01-04 14:53:00,179,FAILED,CARD,London
95,136,2024-01-01 15:32:00,504,COMPLETED,ONLINE,Manchester
96,127,2024-01-07 05:41:00,508,COMPLETED,ONLINE,Manchester
97,119,2024-01-04 09:32:00,333,CANCELLED,GOOGLE_PAY,Birmingham
98,116,2024-01-04 22:50:00,703,FAILED,ONLINE,London
99,124,2024-01-03 04:17:00,243,COMPLETED,ONLINE,Leeds
100,111,2024-01-04 20:32:00,657,COMPLETED,GOOGLE_PAY,Birmingham
101,122,2024-01-02 11:57:00,643,CANCELLED,GOOGLE_PAY,London
102,112,2024-01-03 22:42:00,643,COMPLETED,ONLINE,London
103,136,2024-01-04 17:09:00,107,COMPLETED,GOOGLE_PAY,Liverpool
104,107,2024-01-06 13:59:00,727,CANCELLED,CARD,Liverpool
105,130,2024-01-05 21:25:00,750,COMPLETED,CARD,Manchester
106,134,2024-01-03 05:51:00,529,FAILED,CARD,Birmingham
107,138,2024-01-03 19:00:00,491,COMPLETED,ONLINE,London
108,113,2024-01-01 16:12:00,587,COMPLETED,ONLINE,Liverpool
109,134,2024-01-01 20:11:00,691,COMPLETED,ONLINE,Birmingham
110,114,2024-01-01 12:09:00,151,COMPLETED,GOOGLE_PAY,Manchester
111,113,2024-01-04 19:47:00,594,COMPLETED,GOOGLE_PAY,Manchester
112,117,2024-01-02 18:46:00,560,COMPLETED,ONLINE,London
113,129,2024-01-04 19:01:00,256,COMPLETED,APPLE_PAY,Manchester
114,128,2024-01-03 22:16:00,382,COMPLETED,APPLE_PAY,Birmingham
115,120,2024-01-07 02:04:00,702,COMPLETED,ONLINE,Liverpool
116,113,2024-01-04 00:19:00,465,COMPLETED,CARD,London
117,112,2024-01-07 20:43:00,599,COMPLETED,ONLINE,London
118,137,2024-01-01 17:41:00,117,COMPLETED,APPLE_PAY,Birmingham
119,138,2024-01-03 09:23:00,242,FAILED,CARD,London
120,117,2024-01-07 06:14:00,426,COMPLETED,GOOGLE_PAY,Liverpool
121,127,2024-01-07 11:08:00,762,COMPLETED,GOOGLE_PAY,Leeds
122,118,2024-01-02 19:14:00,616,CANCELLED,APPLE_PAY,Leeds
123,126,2024-01-05 10:28:00,263,COMPLETED,APPLE_PAY,Manchester
124,136,2024-01-07 06:25:00,707,COMPLETED,GOOGLE_PAY,Manchester
125,122,2024-01-03 01:04:00,558,CANCELLED,ONLINE,Birmingham
126,136,2024-01-07 16:12:00,719,COMPLETED,ONLINE,Leeds
127,121,2024-01-05 16:07:00,113,COMPLETED,APPLE_PAY,Manchester
128,138,2024-01-04 01:24:00,208,COMPLETED,APPLE_PAY,Manchester
129,138,2024-01-07 22:18:00,259,CANCELLED,GOOGLE_PAY,Liverpool
130,133,2024-01-03 19:15:00,449,COMPLETED,CARD,Leeds
131,113,2024-01-03 00:57:00,718,COMPLETED,ONLINE,Manchester
132,134,2024-01-03 09:12:00,385,COMPLETED,APPLE_PAY,London
133,104,2024-01-05 02:22:00,504,COMPLETED,GOOGLE_PAY,Birmingham
134,131,2024-01-02 09:31:00,125,CANCELLED,GOOGLE_PAY,Manchester
135,114,2024-01-03 09:35:00,185,COMPLETED,ONLINE,Leeds
136,105,2024-01-06 11:33:00,330,COMPLETED,APPLE_PAY,Liverpool
137,104,2024-01-03 18:33:00,360,COMPLETED,GOOGLE_PAY,Leeds
138,113,2024-01-02 22:51:00,691,COMPLETED,CARD,Manchester
139,122,2024-01-05 23:38:00,489,CANCELLED,GOOGLE_PAY,London
140,120,2024-01-07 20:42:00,253,FAILED,ONLINE,Liverpool
141,135,2024-01-05 19:48:00,777,COMPLETED,CARD,Manchester
142,132,2024-01-03 14:59:00,340,COMPLETED,APPLE_PAY,Birmingham
143,133,2024-01-07 17:56:00,703,CANCELLED,APPLE_PAY,Birmingham
144,124,2024-01-01 22:00:00,129,COMPLETED,ONLINE,Liverpool
145,104,2024-01-01 19:51:00,445,COMPLETED,ONLINE,London
146,104,2024-01-05 11:40:00,792,CANCELLED,APPLE_PAY,Leeds
147,123,2024-01-05 02:47:00,233,CANCELLED,CARD,Manchester
148,116,2024-01-04 08:06:00,719,COMPLETED,ONLINE,Birmingham
149,115,2024-01-08 03:57:00,661,COMPLETED,CARD,Liverpool
150,109,2024-01-01 15:06:00,233,FAILED,ONLINE,Leeds
151,112,2024-01-06 15:16:00,498,FAILED,ONLINE,Liverpool
152,136,2024-01-01 17:47:00,717,COMPLETED,GOOGLE_PAY,Birmingham
153,132,2024-01-02 04:29:00,688,CANCELLED,APPLE_PAY,Manchester
154,114,2024-01-03 01:46:00,160,COMPLETED,APPLE_PAY,London
155,111,2024-01-04 03:16:00,705,CANCELLED,CARD,Manchester
156,115,2024-01-05 08:11:00,758,FAILED,CARD,London
157,116,2024-01-01 15:25:00,225,COMPLETED,CARD,Liverpool
158,129,2024-01-02 05:35:00,788,CANCELLED,APPLE_PAY,Leeds
159,137,2024-01-01 20:52:00,343,COMPLETED,ONLINE,Leeds
160,114,2024-01-01 12:35:00,280,COMPLETED,APPLE_PAY,Leeds
161,108,2024-01-02 20:33:00,129,FAILED,CARD,London
162,117,2024-01-04 16:12:00,329,COMPLETED,GOOGLE_PAY,Birmingham
163,109,2024-01-04 14:51:00,597,COMPLETED,APPLE_PAY,Birmingham
164,128,2024-01-05 14:54:00,626,COMPLETED,CARD,Leeds
165,116,2024-01-04 18:52:00,674,FAILED,GOOGLE_PAY,Leeds
166,112,2024-01-03 01:24:00,482,CANCELLED,ONLINE,Manchester
167,125,2024-01-01 17:20:00,286,CANCELLED,ONLINE,London
168,101,2024-01-08 03:58:00,397,CANCELLED,ONLINE,Liverpool
169,104,2024-01-05 17:06:00,620,FAILED,ONLINE,Liverpool
170,124,2024-01-03 04:56:00,356,COMPLETED,APPLE_PAY,London
171,137,2024-01-07 18:08:00,539,COMPLETED,ONLINE,London
172,125,2024-01-04 07:32:00,327,FAILED,APPLE_PAY,Leeds
173,123,2024-01-04 07:27:00,632,COMPLETED,GOOGLE_PAY,London
174,133,2024-01-08 03:13:00,409,CANCELLED,GOOGLE_PAY,Birmingham
175,135,2024-01-02 11:37:00,747,CANCELLED,ONLINE,Liverpool
176,102,2024-01-05 14:01:00,550,COMPLETED,CARD,Manchester
177,115,2024-01-02 23:46:00,326,COMPLETED,GOOGLE_PAY,Leeds
178,119,2024-01-05 13:14:00,654,FAILED,APPLE_PAY,Liverpool
179,103,2024-01-03 08:30:00,243,FAILED,CARD,Liverpool
180,126,2024-01-03 10:22:00,457,FAILED,CARD,Liverpool
181,131,2024-01-05 09:27:00,573,FAILED,GOOGLE_PAY,London
182,107,2024-01-06 12:29:00,347,CANCELLED,GOOGLE_PAY,Leeds
183,128,2024-01-05 04:35:00,765,COMPLETED,GOOGLE_PAY,Manchester
184,110,2024-01-01 22:07:00,791,COMPLETED,ONLINE,Leeds
185,135,2024-01-07 04:55:00,549,FAILED,ONLINE,Leeds
186,137,2024-01-07 18:54:00,736,FAILED,CARD,Manchester
187,119,2024-01-05 13:38:00,190,CANCELLED,APPLE_PAY,Birmingham
188,135,2024-01-05 15:28:00,167,COMPLETED,CARD,Liverpool
189,111,2024-01-04 11:57:00,564,COMPLETED,CARD,Leeds
190,110,2024-01-02 14:11:00,572,FAILED,CARD,Birmingham
191,125,2024-01-06 22:27:00,730,COMPLETED,CARD,Manchester
192,120,2024-01-06 23:28:00,584,CANCELLED,CARD,Manchester
193,114,2024-01-06 11:38:00,586,FAILED,APPLE_PAY,Leeds
194,105,2024-01-04 13:29:00,302,COMPLETED,CARD,Leeds
195,112,2024-01-06 11:46:00,493,CANCELLED,APPLE_PAY,Birmingham
196,102,2024-01-03 13:26:00,717,CANCELLED,CARD,Liverpool
197,120,2024-01-07 21:53:00,313,COMPLETED,CARD,London
198,128,2024-01-05 06:35:00,697,FAILED,APPLE_PAY,Manchester
199,111,2024-01-07 16:11:00,277,COMPLETED,GOOGLE_PAY,Leeds
200,106,2024-01-06 08:09:00,213,COMPLETED,ONLINE,Leeds
201,132,2024-01-07 23:02:00,349,COMPLETED,ONLINE,Birmingham
202,108,2024-01-01 12:53:00,797,FAILED,CARD,London
203,107,2024-01-05 08:56:00,705,CANCELLED,CARD,Liverpool
204,131,2024-01-03 15:09:00,404,FAILED,GOOGLE_PAY,London
205,113,2024-01-07 17:17:00,487,CANCELLED,APPLE_PAY,London
206,118,2024-01-02 04:18:00,591,CANCELLED,APPLE_PAY,Leeds
207,127,2024-01-01 20:03:00,408,CANCELLED,APPLE_PAY,Leeds
208,105,2024-01-06 14:58:00,719,COMPLETED,APPLE_PAY,Leeds
209,115,2024-01-06 04:45:00,675,CANCELLED,ONLINE,Birmingham
210,137,2024-01-04 21:57:00,750,COMPLETED,CARD,London
211,111,2024-01-02 14:16:00,414,COMPLETED,APPLE_PAY,London
212,103,2024-01-03 16:01:00,463,COMPLETED,APPLE_PAY,Leeds
213,116,2024-01-01 16:22:00,230,COMPLETED,GOOGLE_PAY,Birmingham
214,134,2024-01-05 14:17:00,473,COMPLETED,CARD,Leeds
215,114,2024-01-03 01:52:00,592,COMPLETED,CARD,Birmingham
216,140,2024-01-04 04:48:00,182,COMPLETED,CARD,Leeds
217,122,2024-01-08 05:43:00,350,FAILED,CARD,Liverpool
218,121,2024-01-07 16:22:00,113,COMPLETED,APPLE_PAY,Manchester
219,123,2024-01-04 18:23:00,297,FAILED,GOOGLE_PAY,Birmingham
220,123,2024-01-07 22:19:00,546,COMPLETED,ONLINE,Manchester
221,109,2024-01-02 07:23:00,140,FAILED,CARD,Liverpool
222,123,2024-01-07 20:01:00,423,COMPLETED,APPLE_PAY,London
223,107,2024-01-07 19:37:00,579,COMPLETED,APPLE_PAY,Birmingham
224,111,2024-01-01 17:42:00,663,COMPLETED,ONLINE,Leeds
225,103,2024-01-05 02:10:00,247,FAILED,ONLINE,Birmingham
226,102,2024-01-06 08:17:00,302,FAILED,GOOGLE_PAY,Liverpool
227,138,2024-01-01 12:46:00,681,FAILED,CARD,London
228,122,2024-01-05 17:19:00,144,CANCELLED,CARD,Birmingham
229,119,2024-01-05 17:31:00,625,FAILED,CARD,Liverpool
230,104,2024-01-06 22:44:00,294,COMPLETED,ONLINE,Leeds
231,124,2024-01-03 15:59:00,149,COMPLETED,APPLE_PAY,Leeds
232,107,2024-01-01 18:19:00,256,COMPLETED,ONLINE,Birmingham
233,133,2024-01-03 00:07:00,315,COMPLETED,GOOGLE_PAY,Manchester
234,104,2024-01-04 04:25:00,142,COMPLETED,GOOGLE_PAY,London
235,127,2024-01-01 21:09:00,576,CANCELLED,ONLINE,Birmingham
236,103,2024-01-06 02:22:00,398,COMPLETED,GOOGLE_PAY,Liverpool
237,130,2024-01-05 19:48:00,164,FAILED,APPLE_PAY,Manchester
238,129,2024-01-05 01:42:00,241,COMPLETED,APPLE_PAY,Leeds
239,132,2024-01-04 06:41:00,256,COMPLETED,ONLINE,Birmingham
240,120,2024-01-06 09:22:00,716,COMPLETED,APPLE_PAY,Liverpool
241,137,2024-01-02 05:22:00,140,COMPLETED,CARD,Birmingham
242,135,2024-01-01 12:58:00,186,COMPLETED,CARD,Liverpool
243,107,2024-01-01 17:36:00,229,COMPLETED,APPLE_PAY,London
244,136,2024-01-04 01:42:00,225,FAILED,ONLINE,Leeds
245,126,2024-01-04 11:11:00,795,CANCELLED,APPLE_PAY,Birmingham
246,115,2024-01-02 22:44:00,501,COMPLETED,GOOGLE_PAY,Liverpool
247,112,2024-01-01 10:36:00,358,FAILED,APPLE_PAY,Leeds
248,110,2024-01-06 03:41:00,701,CANCELLED,APPLE_PAY,Birmingham
249,138,2024-01-04 17:18:00,245,COMPLETED,APPLE_PAY,Liverpool
250,132,2024-01-01 16:46:00,559,COMPLETED,APPLE_PAY,Birmingham
251,136,2024-01-03 03:54:00,357,FAILED,GOOGLE_PAY,London
252,116,2024-01-07 13:47:00,697,COMPLETED,CARD,London
253,124,2024-01-05 05:30:00,135,CANCELLED,CARD,Liverpool
254,118,2024-01-04 15:49:00,293,CANCELLED,ONLINE,Manchester
255,110,2024-01-02 21:13:00,531,COMPLETED,GOOGLE_PAY,Leeds
256,104,2024-01-04 13:31:00,452,CANCELLED,GOOGLE_PAY,Birmingham
257,110,2024-01-02 23:04:00,658,COMPLETED,ONLINE,Liverpool
258,126,2024-01-07 02:52:00,544,FAILED,CARD,Leeds
259,105,2024-01-05 07:34:00,388,CANCELLED,GOOGLE_PAY,Leeds
260,135,2024-01-06 03:18:00,636,FAILED,APPLE_PAY,Manchester
261,105,2024-01-04 13:28:00,394,CANCELLED,CARD,Leeds
262,104,2024-01-03 22:22:00,486,CANCELLED,ONLINE,Liverpool
263,119,2024-01-03 07:33:00,268,FAILED,ONLINE,London
264,133,2024-01-07 23:05:00,542,CANCELLED,CARD,Birmingham
265,116,2024-01-07 17:25:00,483,FAILED,CARD,London
266,130,2024-01-05 19:21:00,798,COMPLETED,GOOGLE_PAY,Birmingham
267,138,2024-01-07 06:48:00,205,CANCELLED,ONLINE,Birmingham
268,106,2024-01-05 06:44:00,550,FAILED,ONLINE,Birmingham
269,113,2024-01-04 07:22:00,479,COMPLETED,CARD,Birmingham
270,113,2024-01-06 21:08:00,311,FAILED,CARD,London
271,130,2024-01-02 20:20:00,252,COMPLETED,APPLE_PAY,Birmingham
272,105,2024-01-04 04:36:00,568,CANCELLED,APPLE_PAY,Manchester
273,106,2024-01-08 02:23:00,761,FAILED,APPLE_PAY,Leeds
274,131,2024-01-02 16:50:00,775,COMPLETED,GOOGLE_PAY,London
275,128,2024-01-04 17:28:00,694,CANCELLED,ONLINE,Liverpool
276,110,2024-01-01 16:40:00,523,CANCELLED,CARD,Leeds
277,121,2024-01-05 19:22:00,303,COMPLETED,APPLE_PAY,Liverpool
278,117,2024-01-03 16:58:00,619,COMPLETED,ONLINE,Manchester
279,103,2024-01-03 10:41:00,669,CANCELLED,APPLE_PAY,Manchester
280,108,2024-01-05 23:49:00,649,FAILED,GOOGLE_PAY,Liverpool
281,126,2024-01-08 04:56:00,782,CANCELLED,GOOGLE_PAY,Birmingham
282,134,2024-01-03 13:03:00,369,CANCELLED,ONLINE,Liverpool
283,126,2024-01-07 11:54:00,321,COMPLETED,GOOGLE_PAY,Manchester
284,105,2024-01-05 04:38:00,163,CANCELLED,APPLE_PAY,London
285,108,2024-01-07 08:53:00,720,COMPLETED,CARD,Leeds
286,127,2024-01-07 06:56:00,314,COMPLETED,CARD,Leeds
287,116,2024-01-01 13:15:00,639,COMPLETED,GOOGLE_PAY,Liverpool
288,104,2024-01-02 21:34:00,215,CANCELLED,ONLINE,London
289,111,2024-01-03 07:00:00,167,COMPLETED,APPLE_PAY,Liverpool
290,140,2024-01-06 08:46:00,465,FAILED,GOOGLE_PAY,Liverpool
291,126,2024-01-02 20:00:00,106,COMPLETED,GOOGLE_PAY,Leeds
292,114,2024-01-06 21:54:00,701,COMPLETED,CARD,Birmingham
293,133,2024-01-04 11:24:00,586,CANCELLED,APPLE_PAY,Leeds
294,101,2024-01-04 20:06:00,623,COMPLETED,ONLINE,Birmingham
295,118,2024-01-02 15:35:00,298,COMPLETED,CARD,London
296,119,2024-01-05 06:41:00,287,COMPLETED,GOOGLE_PAY,London
297,110,2024-01-06 11:46:00,384,FAILED,CARD,Manchester
298,116,2024-01-02 12:04:00,636,CANCELLED,ONLINE,Manchester
299,103,2024-01-06 14:53:00,617,COMPLETED,CARD,Birmingham
300,121,2024-01-06 07:12:00,272,COMPLETED,GOOGLE_PAY,Manchester
301,116,2024-01-07 17:48:00,666,COMPLETED,CARD,London
302,126,2024-01-07 18:00:00,265,COMPLETED,GOOGLE_PAY,Manchester
303,110,2024-01-02 00:34:00,285,FAILED,ONLINE,Birmingham
304,119,2024-01-01 13:18:00,288,CANCELLED,ONLINE,Leeds
305,139,2024-01-06 02:33:00,740,COMPLETED,GOOGLE_PAY,Birmingham
306,128,2024-01-07 14:56:00,259,COMPLETED,APPLE_PAY,Leeds
307,116,2024-01-08 03:38:00,229,COMPLETED,GOOGLE_PAY,London
308,117,2024-01-08 05:08:00,606,COMPLETED,GOOGLE_PAY,Liverpool
309,121,2024-01-01 23:43:00,539,COMPLETED,ONLINE,Manchester
310,104,2024-01-06 17:42:00,668,COMPLETED,ONLINE,Leeds
311,111,2024-01-06 19:47:00,322,COMPLETED,CARD,Birmingham
312,134,2024-01-07 14:23:00,689,COMPLETED,CARD,Leeds
313,137,2024-01-05 14:57:00,537,CANCELLED,APPLE_PAY,Manchester
314,106,2024-01-03 04:35:00,508,FAILED,CARD,Leeds
315,119,2024-01-06 17:33:00,397,COMPLETED,GOOGLE_PAY,Manchester
316,131,2024-01-05 04:12:00,680,COMPLETED,APPLE_PAY,Birmingham
317,112,2024-01-02 06:08:00,349,CANCELLED,ONLINE,Liverpool
318,113,2024-01-05 12:15:00,173,COMPLETED,GOOGLE_PAY,Birmingham
319,134,2024-01-05 16:34:00,420,CANCELLED,CARD,Manchester
320,103,2024-01-06 06:12:00,600,COMPLETED,GOOGLE_PAY,London
321,106,2024-01-07 04:42:00,413,COMPLETED,GOOGLE_PAY,Leeds
322,109,2024-01-03 06:40:00,415,CANCELLED,APPLE_PAY,Birmingham
323,125,2024-01-04 06:31:00,247,FAILED,APPLE_PAY,Leeds
324,104,2024-01-08 06:01:00,533,COMPLETED,ONLINE,Liverpool
325,111,2024-01-05 07:24:00,441,CANCELLED,CARD,London
326,137,2024-01-05 02:17:00,556,COMPLETED,APPLE_PAY,Leeds
327,101,2024-01-06 07:23:00,487,COMPLETED,GOOGLE_PAY,Birmingham
328,109,2024-01-06 12:59:00,341,COMPLETED,APPLE_PAY,London
329,130,2024-01-05 16:43:00,793,COMPLETED,ONLINE,London
330,101,2024-01-02 19:57:00,460,FAILED,ONLINE,London
331,105,2024-01-04 12:43:00,216,FAILED,CARD,Leeds
332,103,2024-01-04 07:29:00,359,COMPLETED,APPLE_PAY,Leeds
333,137,2024-01-02 20:58:00,289,COMPLETED,GOOGLE_PAY,Leeds
334,111,2024-01-02 23:05:00,220,COMPLETED,GOOGLE_PAY,Birmingham
335,138,2024-01-02 19:13:00,576,COMPLETED,ONLINE,Liverpool
336,138,2024-01-03 18:25:00,401,COMPLETED,CARD,Leeds
337,112,2024-01-03 10:08:00,221,COMPLETED,GOOGLE_PAY,Manchester
338,111,2024-01-03 16:52:00,446,COMPLETED,GOOGLE_PAY,Birmingham
339,126,2024-01-05 00:19:00,763,FAILED,GOOGLE_PAY,London
340,123,2024-01-04 16:38:00,134,COMPLETED,GOOGLE_PAY,Birmingham
341,132,2024-01-02 12:09:00,389,FAILED,APPLE_PAY,Manchester
342,105,2024-01-06 02:56:00,594,COMPLETED,APPLE_PAY,Manchester
343,126,2024-01-08 06:04:00,374,COMPLETED,GOOGLE_PAY,Manchester
344,128,2024-01-02 21:38:00,467,FAILED,CARD,Liverpool
345,119,2024-01-04 09:12:00,343,COMPLETED,CARD,Manchester
346,108,2024-01-04 15:06:00,481,FAILED,CARD,Liverpool
347,102,2024-01-06 18:16:00,348,COMPLETED,GOOGLE_PAY,Birmingham
348,103,2024-01-05 11:38:00,401,COMPLETED,APPLE_PAY,Liverpool
349,137,2024-01-03 13:55:00,412,COMPLETED,ONLINE,Manchester
350,128,2024-01-04 03:25:00,387,FAILED,ONLINE,Manchester
351,139,2024-01-04 03:33:00,682,COMPLETED,GOOGLE_PAY,Liverpool
352,111,2024-01-07 17:57:00,356,CANCELLED,GOOGLE_PAY,Birmingham
353,127,2024-01-07 12:35:00,760,CANCELLED,GOOGLE_PAY,London
354,122,2024-01-03 20:18:00,479,CANCELLED,APPLE_PAY,Liverpool
355,106,2024-01-04 02:47:00,551,COMPLETED,APPLE_PAY,London
356,137,2024-01-04 08:21:00,236,COMPLETED,CARD,London
357,101,2024-01-06 19:40:00,239,CANCELLED,CARD,London
358,109,2024-01-06 21:17:00,382,COMPLETED,APPLE_PAY,Birmingham
359,119,2024-01-03 10:27:00,686,COMPLETED,CARD,Birmingham
360,104,2024-01-07 04:24:00,512,COMPLETED,CARD,Liverpool
361,116,2024-01-04 19:24:00,605,FAILED,APPLE_PAY,Leeds
362,129,2024-01-08 06:29:00,287,COMPLETED,CARD,London
363,128,2024-01-05 14:50:00,769,COMPLETED,APPLE_PAY,Manchester
364,131,2024-01-02 02:35:00,537,CANCELLED,CARD,Leeds
365,129,2024-01-06 04:39:00,752,COMPLETED,APPLE_PAY,London
366,119,2024-01-07 04:34:00,604,COMPLETED,ONLINE,Liverpool
367,126,2024-01-06 10:53:00,522,COMPLETED,CARD,Leeds
368,126,2024-01-02 20:33:00,713,COMPLETED,APPLE_PAY,Leeds
